date,value,series
2000-01-01,1.5,A191RL1Q225SBEA
2000-04-01,7.5,A191RL1Q225SBEA
2000-07-01,0.4,A191RL1Q225SBEA
2000-10-01,2.4,A191RL1Q225SBEA
2001-01-01,-1.3,A191RL1Q225SBEA
2001-04-01,2.5,A191RL1Q225SBEA
2001-07-01,-1.6,A191RL1Q225SBEA
2001-10-01,1.1,A191RL1Q225SBEA
2002-01-01,3.4,A191RL1Q225SBEA
2002-04-01,2.5,A191RL1Q225SBEA
2002-07-01,1.6,A191RL1Q225SBEA
2002-10-01,0.5,A191RL1Q225SBEA
2003-01-01,2.1,A191RL1Q225SBEA
2003-04-01,3.6,A191RL1Q225SBEA
2003-07-01,6.8,A191RL1Q225SBEA
2003-10-01,4.7,A191RL1Q225SBEA
2004-01-01,2.3,A191RL1Q225SBEA
2004-04-01,3.1,A191RL1Q225SBEA
2004-07-01,3.8,A191RL1Q225SBEA
2004-10-01,4.1,A191RL1Q225SBEA
2005-01-01,4.5,A191RL1Q225SBEA
2005-04-01,2,A191RL1Q225SBEA
2005-07-01,3.2,A191RL1Q225SBEA
2005-10-01,2.2,A191RL1Q225SBEA
2006-01-01,5.5,A191RL1Q225SBEA
2006-04-01,1,A191RL1Q225SBEA
2006-07-01,0.6,A191RL1Q225SBEA
2006-10-01,3.5,A191RL1Q225SBEA
2007-01-01,1.2,A191RL1Q225SBEA
2007-04-01,2.5,A191RL1Q225SBEA
2007-07-01,2.3,A191RL1Q225SBEA
2007-10-01,2.5,A191RL1Q225SBEA
2008-01-01,-1.7,A191RL1Q225SBEA
2008-04-01,2.4,A191RL1Q225SBEA
2008-07-01,-2.1,A191RL1Q225SBEA
2008-10-01,-8.5,A191RL1Q225SBEA
2009-01-01,-4.5,A191RL1Q225SBEA
2009-04-01,-0.7,A191RL1Q225SBEA
2009-07-01,1.4,A191RL1Q225SBEA
2009-10-01,4.4,A191RL1Q225SBEA
2010-01-01,1.9,A191RL1Q225SBEA
2010-04-01,3.9,A191RL1Q225SBEA
2010-07-01,3.1,A191RL1Q225SBEA
2010-10-01,2.1,A191RL1Q225SBEA
2011-01-01,-0.9,A191RL1Q225SBEA
2011-04-01,2.7,A191RL1Q225SBEA
2011-07-01,-0.1,A191RL1Q225SBEA
2011-10-01,4.6,A191RL1Q225SBEA
2012-01-01,3.4,A191RL1Q225SBEA
2012-04-01,1.8,A191RL1Q225SBEA
2012-07-01,0.6,A191RL1Q225SBEA
2012-10-01,0.5,A191RL1Q225SBEA
2013-01-01,4,A191RL1Q225SBEA
2013-04-01,1.1,A191RL1Q225SBEA
2013-07-01,3.5,A191RL1Q225SBEA
2013-10-01,3.5,A191RL1Q225SBEA
2014-01-01,-1.4,A191RL1Q225SBEA
2014-04-01,5.3,A191RL1Q225SBEA
2014-07-01,5,A191RL1Q225SBEA
2014-10-01,2,A191RL1Q225SBEA
2015-01-01,3.6,A191RL1Q225SBEA
2015-04-01,2.5,A191RL1Q225SBEA
2015-07-01,1.6,A191RL1Q225SBEA
2015-10-01,0.7,A191RL1Q225SBEA
2016-01-01,2.3,A191RL1Q225SBEA
2016-04-01,1.3,A191RL1Q225SBEA
2016-07-01,2.9,A191RL1Q225SBEA
2016-10-01,2.2,A191RL1Q225SBEA
2017-01-01,2,A191RL1Q225SBEA
2017-04-01,2.3,A191RL1Q225SBEA
2017-07-01,3.2,A191RL1Q225SBEA
2017-10-01,4.6,A191RL1Q225SBEA
2018-01-01,3.3,A191RL1Q225SBEA
2018-04-01,2.1,A191RL1Q225SBEA
2018-07-01,2.5,A191RL1Q225SBEA
2018-10-01,0.6,A191RL1Q225SBEA
2019-01-01,2.5,A191RL1Q225SBEA
2019-04-01,3.4,A191RL1Q225SBEA
2019-07-01,4.8,A191RL1Q225SBEA
2019-10-01,2.8,A191RL1Q225SBEA
2020-01-01,-5.2,A191RL1Q225SBEA
2020-04-01,-28,A191RL1Q225SBEA
2020-07-01,34.9,A191RL1Q225SBEA
2020-10-01,4.6,A191RL1Q225SBEA
2021-01-01,5.7,A191RL1Q225SBEA
2021-04-01,7,A191RL1Q225SBEA
2021-07-01,3.3,A191RL1Q225SBEA
2021-10-01,7,A191RL1Q225SBEA
2022-01-01,-1,A191RL1Q225SBEA
2022-04-01,0.6,A191RL1Q225SBEA
2022-07-01,2.9,A191RL1Q225SBEA
2022-10-01,2.8,A191RL1Q225SBEA
2023-01-01,2.9,A191RL1Q225SBEA
2023-04-01,2.5,A191RL1Q225SBEA
2023-07-01,4.7,A191RL1Q225SBEA
2023-10-01,3.4,A191RL1Q225SBEA
2024-01-01,0.8,A191RL1Q225SBEA
2024-04-01,3.6,A191RL1Q225SBEA
2024-07-01,3.3,A191RL1Q225SBEA
2024-10-01,1.9,A191RL1Q225SBEA
2025-01-01,-0.6,A191RL1Q225SBEA
2025-04-01,3.8,A191RL1Q225SBEA
2025-07-01,4.4,A191RL1Q225SBEA
2025-10-01,0.5,A191RL1Q225SBEA
